CNPq_ID,Name,Institution,Area,City,State,Country,Lattes_URL,Search_Term,Created_At
K4208911A9,Cláudio Saad Netto,Pontifícia Universidade Católica de São Paulo,,,,,http://lattes.cnpq.br/K4208911A9,prova de teoremas,2025-05-27 02:41:31
K8411908J8,Clélia Lucia de Souza,Universidade Federal de Goiás,,,,,http://lattes.cnpq.br/K8411908J8,computacao,2025-05-27 02:25:20
K4789778P8,Conrado Werner Seibel,Universidade Federal de Santa Catarina,,,,,http://lattes.cnpq.br/K4789778P8,formal verification,2025-05-27 02:41:27
K4979751E7,Cristiano Forster,Universidade Estadual de Londrina,,,,,http://lattes.cnpq.br/K4979751E7,prova de teoremas,2025-05-27 02:41:33
K4798343J9,Cristina Ururahy da Fontoura Cerqueira,Pontifícia Universidade Católica do Rio de Janeiro,,,,,http://lattes.cnpq.br/K4798343J9,linguagens de especificação,2025-05-27 02:41:44
K4330509D2,Dalay Israel de Almeida Pereira,,,,,,http://lattes.cnpq.br/K4330509D2,formal methods,2025-05-27 02:41:22
K4965337H2,Danilo Gustavo Bispo,Pontifícia Universidade Católica de São Paulo,,,,,http://lattes.cnpq.br/K4965337H2,computacao,2025-05-27 02:25:40
K4768856U5,David Boris Paul Déharbe,,,,,,http://lattes.cnpq.br/K4768856U5,program verification,2025-05-27 02:41:42
K4356874H6,David Kohan Marzagão,,,,,,http://lattes.cnpq.br/K4356874H6,formal methods,2025-05-27 02:41:24
K8752730Z6,Diogenes Tadeu Rossoni Paranhos,Fundação Getúlio Vargas,,,,,http://lattes.cnpq.br/K8752730Z6,computacao,2025-05-27 02:25:01
K4475500U7,Diogo Nunes Sampaio,,,,,,http://lattes.cnpq.br/K4475500U7,static analysis,2025-05-27 02:41:40
K4707021P6,Dirce Bortotti Salvadori,,,,,,http://lattes.cnpq.br/K4707021P6,linguagens de especificação,2025-05-27 02:41:46
K4701911T3,Djones Vinicius Lettnin,University of Tübingen,,,,,http://lattes.cnpq.br/K4701911T3,formal verification,2025-05-27 02:41:26
K4723727U8,Edelweis Helena Garcez Ritt,University of Tübingen,,,,,http://lattes.cnpq.br/K4723727U8,"formal verification, model checking",2025-05-27 02:41:27
K4789184D5,Edgardo Salomon Cheb-Terrab,Universidade Federal do Rio de Janeiro,,,,,http://lattes.cnpq.br/K4789184D5,computacao,2025-05-27 02:26:16
K4781726U5,Eduardo Marques,Universidade de São Paulo,,,,,http://lattes.cnpq.br/K4781726U5,computacao,2025-05-27 02:26:23
K4648350Y3,Eduardo Rohde Eras,,,,,,http://lattes.cnpq.br/K4648350Y3,"formal methods, formal verification, model checking",2025-05-27 02:41:23
K4787029E5,Edward Hermann Haeusler,Pontifícia Universidade Católica do Rio de Janeiro,,,,,http://lattes.cnpq.br/K4787029E5,temporal logic,2025-05-27 02:41:36
K4783332U4,Elias Humberto Alves,Pontifícia Universidade Católica de São Paulo,,,,,http://lattes.cnpq.br/K4783332U4,temporal logic,2025-05-27 02:41:33
K4775676H5,Elizabeth Amalia Boscher Torres,Universidade Federal do Rio de Janeiro,,,,,http://lattes.cnpq.br/K4775676H5,computacao,2025-05-27 02:25:50
K8243660H2,Emerson Wendlingger Dantas Sales,,,,,,http://lattes.cnpq.br/K8243660H2,"model checking, static analysis",2025-05-27 02:41:29
K4227395P5,Emmanuel Sapin,,,,,,http://lattes.cnpq.br/K4227395P5,computacao,2025-05-27 02:25:27
K4865479D2,Endi Samba Luamba,Universidade de São Paulo,,,,,http://lattes.cnpq.br/K4865479D2,static analysis,2025-05-27 02:41:37
K4756549D9,Enrique Raúl Rentería Guerrero,Pontifícia Universidade Católica do Rio de Janeiro,,,,,http://lattes.cnpq.br/K4756549D9,computacao,2025-05-27 02:25:07
K4319906U1,Eric Javier Biagioli,,,,,,http://lattes.cnpq.br/K4319906U1,formal methods,2025-05-27 02:41:22
K4770275D0,Eric Luis Barroso Cavalcante,,,,,,http://lattes.cnpq.br/K4770275D0,static analysis,2025-05-27 02:41:37
K4364035A7,Erling Fjaer,,,,,,http://lattes.cnpq.br/K4364035A7,static analysis,2025-05-27 02:41:40
K4229114P3,Erval Netto de Lima,Universidade Paranaense,,,,,http://lattes.cnpq.br/K4229114P3,computacao,2025-05-27 02:25:17
K8548728D5,Fabiano do Amaral,Faculdade de Economia,,,,,http://lattes.cnpq.br/K8548728D5,computacao,2025-05-27 02:24:57
